,lasso,elasticnet
261,-10.079480644965521,-9.962639581873956
262,-25.029114624362567,-25.124606161839726
263,-32.88783850850488,-33.04964247109847
264,-16.33308920996158,-16.17477256757397
265,-22.161865665377757,-22.196788634630572
266,-13.754031611042887,-13.783844210320446
267,-19.326295340356218,-19.41322677168889
268,-24.521134457306275,-24.506213269907708
269,4.774700756107187,5.031334137653137
270,9.912981668824607,10.261687388424669
271,16.995246412421086,16.83357646745616
272,-3.1441874846347337,-2.809160985581849
273,5.650089326287729,5.3918028404438925
274,-15.658670134406881,-15.42986266072739
275,15.244409921659036,15.007086871358922
276,13.516740405695979,13.351454320972275
277,-3.986701191017674,-4.0543625876825615
278,-7.4310964190741355,-7.579480146865058
279,-16.73830066665625,-16.70438742090385
280,-16.997852881871072,-17.02375648418261
281,-6.922712396284437,-6.97237613944328
282,-23.192351574456218,-23.17146820534206
283,-18.1505698454552,-18.119890591597088
284,-11.031001060741964,-10.971274729843294
285,-18.1505698454552,-18.119890591597088
286,-9.209910750954199,-9.294840508588662
287,-19.492978268209665,-19.410306739384353
288,-17.816401237648787,-17.8937232831812
289,-1.5008436340262932,-1.4755700111853798
290,-17.816401237648787,-17.8937232831812
291,-1.5565804515550652,-1.6026183992204484
292,-3.2921916976330845,-3.249438222553405
293,-3.2921916976330845,-3.249438222553405
294,-5.7136831186149095,-5.978281982544633
295,-9.36146655105975,-9.316955426111155
296,-8.444087948050841,-8.24063082112495
297,-9.36146655105975,-9.316955426111155
298,-11.170095497649365,-11.184238312019685
299,-6.98772537569129,-7.0491364506845375
300,-6.98772537569129,-7.0491364506845375
301,-15.240783244487103,-15.33078164931273
302,-15.283140872873469,-15.182480948431055
303,-15.731042633266343,-15.53981789499078
304,-15.283140872873469,-15.182480948431055
305,3.1787161654160463,2.8164261047218258
306,-19.84734674508293,-19.784249459345872
307,-10.326410147823212,-10.17343622906433
308,-16.512277894200484,-16.53942227679809
309,-7.52762017512093,-7.333557131341563
310,-10.326410147823212,-10.17343622906433
311,-19.84734674508293,-19.784249459345872
312,-16.512277894200484,-16.53942227679809
313,-25.950244630909822,-25.83878469037254
