,concentration,reference_energy,hull_energy,file_location
634,0.25,-17.184712692308217,-24.344055641024216,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus016_finished/run_final/OUTCAR
635,0.21428571428571427,-13.827395222222094,-20.866333406592183,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus175_finished/run_final/OUTCAR
636,0.4166666666666667,-32.088954024390006,-33.74347646341426,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus065_finished/run_final/OUTCAR
637,0.3333333333333333,-27.20758824999976,-30.020756098868112,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus096_finished/run_final/OUTCAR
638,0.15384615384615385,-8.308185365853282,-14.980957317553365,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus160_finished/run_final/OUTCAR
639,0.36363636363636365,-27.974542972973158,-32.08501081081135,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus123_finished/run_final/OUTCAR
640,0.2,-11.558423229165745,-19.475244512819373,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus146_finished/run_final/OUTCAR
641,0.26666666666666666,-19.820902448979805,-25.479395732592995,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus168_finished/run_final/OUTCAR
642,0.125,-7.051683799999182,-12.172027820512108,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus050_finished/run_final/OUTCAR
643,0.3333333333333333,-26.25070649999941,-30.020756098868112,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus008_finished/run_final/OUTCAR
644,0.16666666666666666,-10.067952894737095,-16.229370427349476,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus149_finished/run_final/OUTCAR
645,0.25,-18.76786320512845,-24.344055641024216,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus028_finished/run_final/OUTCAR
646,0.2,-14.170712500000349,-19.475244512819373,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus083_finished/run_final/OUTCAR
647,0.26666666666666666,-21.52264346938878,-25.479395732592995,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus171_finished/run_final/OUTCAR
648,0.07142857142857142,-0.20877779069831925,-6.955444468864061,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus164_finished/run_final/OUTCAR
649,0.14285714285714285,-7.877977499998938,-13.910888937728123,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus074_finished/run_final/OUTCAR
650,0.21428571428571427,-15.27884055555483,-20.866333406592183,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus055_finished/run_final/OUTCAR
651,0.16666666666666666,-11.799586315790197,-16.229370427349476,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus017_finished/run_final/OUTCAR
652,0.3,-15.395195606060952,-27.75007591573055,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus001_finished/run_final/OUTCAR
653,0.21428571428571427,-16.510001222222094,-20.866333406592183,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus104_finished/run_final/OUTCAR
654,0.3333333333333333,-25.80754549999919,-30.020756098868112,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus119_finished/run_final/OUTCAR
655,0.21428571428571427,-11.83796011111124,-20.866333406592183,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus125_finished/run_final/OUTCAR
656,0.36363636363636365,-32.08501081081135,-32.08501081081135,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus006_finished/run_final/OUTCAR
657,0.26666666666666666,-17.98804142857205,-25.479395732592995,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus138_finished/run_final/OUTCAR
658,0.3,-23.227839242424302,-27.75007591573055,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus039_finished/run_final/OUTCAR
659,0.5,-32.53307214285699,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus023_finished/run_final/OUTCAR
660,0.5,-30.40661880952403,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus143_finished/run_final/OUTCAR
661,0.25,-19.507084615383974,-24.344055641024216,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus027_finished/run_final/OUTCAR
662,0.23076923076923078,-15.601399404761736,-22.471435976330046,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus042_finished/run_final/OUTCAR
663,0.13333333333333333,-5.898937659574034,-12.983496341879581,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus117_finished/run_final/OUTCAR
664,0.36363636363636365,-26.90377054054008,-32.08501081081135,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus048_finished/run_final/OUTCAR
665,0.21428571428571427,-14.248902111112077,-20.866333406592183,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus115_finished/run_final/OUTCAR
666,0.18181818181818182,-10.782189428570225,-17.7047677389267,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus128_finished/run_final/OUTCAR
